epoch,train_loss,val_loss
1,0.7204366930153059,0.8048761630117303
2,0.21229968152431228,0.1966190308074255
3,0.14866618534885578,0.15387213246730885
4,0.12603722693664687,0.13799462415794334
5,0.12814608522176002,0.15277982431251813
6,0.11090802704417928,0.12076284524311523
7,0.10049719744772645,0.10832161935839323
8,0.0916044645474194,0.10973264203213229
9,0.11180958371632588,0.12825668652975322
10,0.10157304907344883,0.16102002996324313
11,0.10254789535303294,0.1620818589546598
12,0.09554323389293244,0.10227610401366607
13,0.08732599119499604,0.12145950429436594
14,0.08412605976882559,0.09099817650374209
15,0.07862925975820663,0.09352344564060763
16,0.081599583772954,0.09953141335102886
17,0.07551829986598181,0.08953427193262199
18,0.07844009445922345,0.18822700517381183
19,0.0960109314794496,0.1182057970009818
20,0.08779225338782583,0.09676242847511969
21,0.07952692242142577,0.11742931223557432
22,0.0750081596005222,0.09288842444962794
23,0.08345941473608431,0.09954512411599407
24,0.07124451160986231,0.09388769925157033
